"","E-1-","E-10","E-13","E-15-","E-2-","E-3-","E-4-","E-5-","E-6-","E-8-","W-1-","W-10-","W-11-","W-12-","W-2-","W-3-","W-4-","W-5-","W-6-","W-7-","W-8-","W-9-","W-AUX3-"
"E-1-",NA,0.029786340711182,0.0488645205718023,0.0269893121080554,0.0240200079087089,0.0136614262847481,0.0184701873696096,0.0285226602597868,0.0281470157019464,0.017281339354217,0.201231589507452,0.105672967421764,0.157719467888303,0.165470393976931,0.120447739170102,0.145107955464355,0.139444540070675,0.106525738211523,0.11157881032529,0.114288742989792,0.10656827319621,0.103699475699855,0.116700034187771
"E-10",0.029786340711182,NA,0.0594334169207335,0.0228257259445016,0.0265160003090532,0.0270196706207642,0.0236526010564511,0.0522752305767643,0.0408442830980189,0.0175335526269564,0.134282942441441,0.0769443722645773,0.104077776846557,0.123444851858851,0.114841422082974,0.0929348902295837,0.0887945950887789,0.0663792229636283,0.0681545138072712,0.0697427211915371,0.0627895547529221,0.0611644731697299,0.0966117990303387
"E-13",0.0488645205718023,0.0594334169207335,NA,0.030886090026488,0.066447232686621,0.0563277475069394,0.0665189259539659,0.0647076004499832,0.0634641342074815,0.0249846596346902,0.11731350225865,0.0754506300624678,0.0930552417668521,0.108529258568416,0.121506211180124,0.0911879513320014,0.0904869543808884,0.0632795764163672,0.0661436796870718,0.0698880517014303,0.0604925767030332,0.0629953308762117,0.0977621642100551
"E-15-",0.0269893121080554,0.0228257259445016,0.030886090026488,NA,0.039501754550404,0.036698311798912,0.0320642294895183,0.0399243431701932,0.0328405013188326,0.0197466480788625,0.139601504200731,0.0672332964560066,0.0923453703892399,0.093634222564027,0.0667810982090004,0.0947648649129058,0.0882946770364741,0.0646676059988579,0.0740613280223203,0.0735237266184021,0.0688974099979356,0.0654947009178483,0.0735811485483446
"E-2-",0.0240200079087089,0.0265160003090532,0.066447232686621,0.039501754550404,NA,0.0220922125557002,0.0210296271925636,0.0461254015157433,0.0287884139879902,0.0257927258810049,0.204340381714467,0.10955743634065,0.152579901612939,0.15675451183543,0.102662381941277,0.148302308026566,0.136451274294766,0.111112796216918,0.115272526975395,0.117593488269352,0.110256483863211,0.104418081078212,0.106552833928574
"E-3-",0.0136614262847481,0.0270196706207642,0.0563277475069394,0.036698311798912,0.0220922125557002,NA,0.018213566040084,0.033037499513937,0.0327524389227049,0.0195586365330812,0.211978710598751,0.116846939466028,0.160561254437208,0.163305282852507,0.128902049851939,0.154720149259942,0.144810828073561,0.115929370687385,0.122137155969782,0.120271572255688,0.120604226393237,0.111761622026746,0.125950183878089
"E-4-",0.0184701873696096,0.0236526010564511,0.0665189259539659,0.0320642294895183,0.0210296271925636,0.018213566040084,NA,0.0257761715997175,0.0418026749078801,0.0209859402024885,0.186598546312656,0.0990518432824537,0.142481359704858,0.153107161891404,0.132224625787213,0.120965614980964,0.121790978880401,0.087026536131307,0.0948681924682482,0.094733544973767,0.0918743520186264,0.0868547378382378,0.120958547402472
"E-5-",0.0285226602597868,0.0522752305767643,0.0647076004499832,0.0399243431701932,0.0461254015157433,0.033037499513937,0.0257761715997175,NA,0.0447863004374004,0.0303235764936951,0.202630999418545,0.108433274750955,0.159256152821497,0.158954423324148,0.128317777668572,0.142066384075061,0.139980675362762,0.106866299398786,0.113739287593649,0.11957222992918,0.107551332344007,0.108608923783133,0.125642695286694
"E-6-",0.0281470157019464,0.0408442830980189,0.0634641342074815,0.0328405013188326,0.0287884139879902,0.0327524389227049,0.0418026749078801,0.0447863004374004,NA,0.0219895905732294,0.165180995187829,0.0844048299951029,0.128944416565811,0.147775702274388,0.1116975991827,0.117483075191556,0.113614420689945,0.0881349299740049,0.0868587711135086,0.0903200265624601,0.0755781917822013,0.0793184628620296,0.0988808496643074
"E-8-",0.017281339354217,0.0175335526269564,0.0249846596346902,0.0197466480788625,0.0257927258810049,0.0195586365330812,0.0209859402024885,0.0303235764936951,0.0219895905732294,NA,0.166048160768986,0.0879002223862705,0.116262247086989,0.107774613125688,0.0661504816254164,0.134656514330047,0.11951927211816,0.0940414832950976,0.105431002542138,0.104895703892479,0.104349821664882,0.0919287689949952,0.0797403066248691
"W-1-",0.201231589507452,0.134282942441441,0.11731350225865,0.139601504200731,0.204340381714467,0.211978710598751,0.186598546312656,0.202630999418545,0.165180995187829,0.166048160768986,NA,0.118614519022717,0.0537429250378051,0.0669941154405863,0.0983004087433931,0.121657969113291,0.0799113016552934,0.0907979730600893,0.0973782278224488,0.100804439717291,0.0895623927052821,0.0950014079293937,0.0924967745524945
"W-10-",0.105672967421764,0.0769443722645773,0.0754506300624678,0.0672332964560066,0.10955743634065,0.116846939466028,0.0990518432824537,0.108433274750955,0.0844048299951029,0.0879002223862705,0.118614519022717,NA,0.062704087019799,0.0708269517386823,0.0337904999851314,0.0380478442705684,0.0452124257290614,0.0283398112852996,0.0176175754224153,0.0249675856345679,0.02235477475132,0.0173433688630868,0.0305172862549408
"W-11-",0.157719467888303,0.104077776846557,0.0930552417668521,0.0923453703892399,0.152579901612939,0.160561254437208,0.142481359704858,0.159256152821497,0.128944416565811,0.116262247086989,0.0537429250378051,0.062704087019799,NA,0.0302865532212763,0.0680667872464461,0.0636452640593945,0.0364299735983092,0.0370801094671405,0.0445598027910934,0.0419371485620943,0.0397552210931283,0.0466930333767042,0.0497405629808895
"W-12-",0.165470393976931,0.123444851858851,0.108529258568416,0.093634222564027,0.15675451183543,0.163305282852507,0.153107161891404,0.158954423324148,0.147775702274388,0.107774613125688,0.0669941154405863,0.0708269517386823,0.0302865532212763,NA,0.0958461615866459,0.0513488117207328,0.0372102096666556,0.0445246084076635,0.0496733696872644,0.0491953033418022,0.0472921400720487,0.0546150356679327,0.0666544551348078
"W-2-",0.120447739170102,0.114841422082974,0.121506211180124,0.0667810982090004,0.102662381941277,0.128902049851939,0.132224625787213,0.128317777668572,0.1116975991827,0.0661504816254164,0.0983004087433931,0.0337904999851314,0.0680667872464461,0.0958461615866459,NA,0.0494533311380099,0.0524327088462964,0.0356643638740303,0.0304181273470576,0.0348046619253249,0.026256643443188,0.0229390844155227,0.0434719974329999
"W-3-",0.145107955464355,0.0929348902295837,0.0911879513320014,0.0947648649129058,0.148302308026566,0.154720149259942,0.120965614980964,0.142066384075061,0.117483075191556,0.134656514330047,0.121657969113291,0.0380478442705684,0.0636452640593945,0.0513488117207328,0.0494533311380099,NA,0.0393897821839535,0.0401739707983633,0.0300525004315591,0.0375462666769962,0.0352613173677171,0.0326806174442185,0.0456757754610795
"W-4-",0.139444540070675,0.0887945950887789,0.0904869543808884,0.0882946770364741,0.136451274294766,0.144810828073561,0.121790978880401,0.139980675362762,0.113614420689945,0.11951927211816,0.0799113016552934,0.0452124257290614,0.0364299735983092,0.0372102096666556,0.0524327088462964,0.0393897821839535,NA,0.0362754062588338,0.0321630177835142,0.0310260251260518,0.0354172568804905,0.0334384357916716,0.0405904809612997
"W-5-",0.106525738211523,0.0663792229636283,0.0632795764163672,0.0646676059988579,0.111112796216918,0.115929370687385,0.087026536131307,0.106866299398786,0.0881349299740049,0.0940414832950976,0.0907979730600893,0.0283398112852996,0.0370801094671405,0.0445246084076635,0.0356643638740303,0.0401739707983633,0.0362754062588338,NA,0.0230078134709484,0.0222776673981551,0.029829830483658,0.0206269167014848,0.0300024574801924
"W-6-",0.11157881032529,0.0681545138072712,0.0661436796870718,0.0740613280223203,0.115272526975395,0.122137155969782,0.0948681924682482,0.113739287593649,0.0868587711135086,0.105431002542138,0.0973782278224488,0.0176175754224153,0.0445598027910934,0.0496733696872644,0.0304181273470576,0.0300525004315591,0.0321630177835142,0.0230078134709484,NA,0.0199075582588126,0.0143863144629211,0.0131783032343689,0.0207765967075939
"W-7-",0.114288742989792,0.0697427211915371,0.0698880517014303,0.0735237266184021,0.117593488269352,0.120271572255688,0.094733544973767,0.11957222992918,0.0903200265624601,0.104895703892479,0.100804439717291,0.0249675856345679,0.0419371485620943,0.0491953033418022,0.0348046619253249,0.0375462666769962,0.0310260251260518,0.0222776673981551,0.0199075582588126,NA,0.0282402285045294,0.0164782752287649,0.0291149210472588
"W-8-",0.10656827319621,0.0627895547529221,0.0604925767030332,0.0688974099979356,0.110256483863211,0.120604226393237,0.0918743520186264,0.107551332344007,0.0755781917822013,0.104349821664882,0.0895623927052821,0.02235477475132,0.0397552210931283,0.0472921400720487,0.026256643443188,0.0352613173677171,0.0354172568804905,0.029829830483658,0.0143863144629211,0.0282402285045294,NA,0.0187125541910347,0.0191701790107171
"W-9-",0.103699475699855,0.0611644731697299,0.0629953308762117,0.0654947009178483,0.104418081078212,0.111761622026746,0.0868547378382378,0.108608923783133,0.0793184628620296,0.0919287689949952,0.0950014079293937,0.0173433688630868,0.0466930333767042,0.0546150356679327,0.0229390844155227,0.0326806174442185,0.0334384357916716,0.0206269167014848,0.0131783032343689,0.0164782752287649,0.0187125541910347,NA,0.0247560240023667
"W-AUX3-",0.116700034187771,0.0966117990303387,0.0977621642100551,0.0735811485483446,0.106552833928574,0.125950183878089,0.120958547402472,0.125642695286694,0.0988808496643074,0.0797403066248691,0.0924967745524945,0.0305172862549408,0.0497405629808895,0.0666544551348078,0.0434719974329999,0.0456757754610795,0.0405904809612997,0.0300024574801924,0.0207765967075939,0.0291149210472588,0.0191701790107171,0.0247560240023667,NA
